#{"t_start": 1732811639.8356025, "env_id": "InvertedDoublePendulum-v4"}
r,l,t
26.881115,3,17.657152
26.969498,3,17.680742
35.174796,4,17.684204
26.910371,3,17.70734
35.197733,4,17.710694
26.879092,3,17.733088
35.228989,4,17.736644
26.819121,3,17.760181
35.247371,4,17.763641
26.929465,3,17.786242
26.9777,3,17.788933
26.927635,3,17.812029
35.283439,4,17.815282
26.93733,3,17.837651
35.372322,4,17.841151
35.292342,4,17.871621
35.240374,4,17.875232
35.392706,4,17.906002
26.86132,3,17.908649
35.106582,4,17.940709
26.879405,3,17.943305
35.305958,4,17.973865
26.894642,3,17.976385
26.927592,3,17.998635
26.949527,3,18.001229
35.18491,4,18.03259
26.864604,3,18.035159
35.334113,4,18.066441
35.268458,4,18.069888
26.942602,3,18.094533
35.263435,4,18.097857
26.843105,3,18.121166
26.899362,3,18.123946
26.891371,3,18.146793
26.862303,3,18.149428
35.27165,4,18.180975
26.917754,3,18.183975
35.257434,4,18.214649
35.36361,4,18.217984
26.903992,3,18.241267
35.17637,4,18.24479
35.122551,4,18.275105
26.924585,3,18.277696
35.290274,4,18.308524
35.165476,4,18.311819
35.160158,4,18.341988
26.858341,3,18.344738
35.124877,4,18.375272
26.895067,3,18.378323
26.82218,3,18.401662
35.211044,4,18.405164
35.229878,4,18.435605
35.267709,4,18.439113
26.895556,3,18.46342
35.203975,4,18.466794
26.95328,3,18.489554
35.156906,4,18.492843
26.939575,3,18.515865
26.920753,3,18.518656
35.167065,4,18.548395
35.175831,4,18.551991
26.968951,3,18.574321
